file_id |01 |02 |03 |04 |05 |06 |07 |08 |
10_20_0.wav |6.7%|15.5%|4.8%|1.9%|18.9%|27.6%|18.8%|5.8%|
10_20_1.wav |56.7%|0.3%|3.5%|2.5%|23.2%|1.6%|2.3%|10.0%|
10_20_2.wav |21.3%|3.1%|65.6%|0.4%|1.5%|0.6%|6.6%|1.0%|
10_20_3.wav |0.3%|64.9%|24.4%|0.1%|0.1%|0.9%|9.2%|0.1%|
10_20_4.wav |7.3%|0.8%|76.6%|0.3%|0.6%|0.2%|0.7%|13.5%|
10_21_0.wav |0.6%|25.1%|0.7%|1.3%|7.1%|50.8%|3.5%|10.9%|
10_21_1.wav |8.7%|1.0%|0.8%|3.3%|35.8%|10.4%|1.5%|38.6%|
10_21_2.wav |3.7%|31.7%|5.1%|1.2%|9.4%|31.2%|8.8%|8.9%|
10_21_3.wav |0.1%|84.2%|8.9%|0.1%|0.1%|1.7%|4.7%|0.1%|
10_21_4.wav |3.5%|2.5%|39.4%|0.4%|1.2%|0.9%|0.7%|51.4%|
10_22_0.wav |4.9%|32.5%|8.4%|0.9%|7.1%|27.0%|7.7%|11.4%|
10_22_1.wav |72.6%|0.1%|17.1%|0.4%|2.0%|0.2%|0.3%|7.4%|
10_22_2.wav |59.9%|2.1%|28.6%|0.4%|3.1%|1.2%|2.2%|2.5%|
10_22_3.wav |0.3%|71.5%|18.1%|0.1%|0.1%|1.2%|8.7%|0.1%|
10_22_4.wav |4.9%|1.7%|90.2%|0.1%|0.3%|0.2%|1.1%|1.6%|
10_23_0.wav |1.3%|5.0%|0.5%|1.6%|15.1%|33.5%|1.3%|41.8%|
10_23_1.wav |6.3%|0.5%|0.5%|2.1%|23.5%|6.1%|0.6%|60.5%|
10_23_2.wav |2.0%|40.4%|7.2%|1.0%|5.0%|23.9%|6.0%|14.5%|
10_23_3.wav |0.1%|84.3%|10.8%|0.1%|0.1%|1.4%|3.0%|0.2%|
10_23_4.wav |0.4%|0.2%|0.4%|0.5%|1.6%|0.7%|0.1%|96.1%|
10_24_0.wav |1.3%|50.8%|3.4%|0.7%|4.2%|28.4%|8.0%|3.2%|
10_24_1.wav |16.5%|6.5%|8.3%|2.8%|21.8%|14.7%|7.8%|21.7%|
10_24_2.wav |7.0%|32.2%|37.4%|0.6%|2.6%|6.2%|11.6%|2.4%|
10_24_3.wav |0.4%|65.5%|26.3%|0.1%|0.1%|1.1%|6.4%|0.1%|
10_24_4.wav |9.6%|11.0%|38.1%|1.4%|6.4%|5.7%|8.2%|19.6%|
10_25_0.wav |0.6%|37.4%|1.2%|0.7%|4.5%|44.8%|4.7%|6.1%|
10_25_1.wav |14.7%|1.7%|1.5%|3.0%|41.5%|13.8%|3.8%|19.9%|
10_25_2.wav |0.6%|74.4%|11.4%|0.2%|0.6%|5.6%|6.4%|0.9%|
10_25_3.wav |0.2%|75.9%|16.9%|0.1%|0.1%|1.0%|5.8%|0.1%|
10_25_4.wav |2.6%|14.8%|4.5%|1.6%|10.7%|24.8%|5.2%|35.9%|
10_26_0.wav |0.4%|27.8%|0.4%|0.7%|4.9%|56.7%|2.8%|6.3%|
10_26_1.wav |12.7%|1.6%|2.6%|1.5%|21.8%|9.2%|1.9%|48.7%|
10_26_2.wav |3.1%|30.0%|53.2%|0.3%|1.1%|3.2%|5.6%|3.6%|
10_26_3.wav |0.1%|87.8%|6.5%|0.1%|0.1%|1.8%|3.5%|0.1%|
10_26_4.wav |2.6%|0.7%|91.3%|0.1%|0.1%|0.1%|0.3%|4.8%|
10_27_0.wav |1.5%|29.3%|1.6%|0.9%|6.8%|46.7%|3.6%|9.6%|
10_27_1.wav |57.9%|0.3%|1.7%|1.8%|27.5%|2.3%|1.6%|6.9%|
10_27_2.wav |0.8%|56.7%|36.1%|0.1%|0.2%|1.4%|4.3%|0.3%|
10_27_3.wav |0.2%|81.5%|12.0%|0.1%|0.1%|1.3%|4.8%|0.1%|
10_27_4.wav |9.7%|1.8%|80.4%|0.2%|0.7%|0.4%|1.4%|5.3%|
10_28_0.wav |1.4%|19.8%|1.3%|1.3%|12.3%|48.4%|8.7%|6.9%|
10_28_1.wav |13.5%|1.6%|1.1%|2.9%|43.9%|14.9%|3.5%|18.5%|
10_28_2.wav |3.6%|17.0%|67.5%|0.3%|0.9%|1.5%|7.9%|1.3%|
10_28_3.wav |0.3%|66.7%|21.9%|0.1%|0.2%|1.3%|9.4%|0.1%|
10_28_4.wav |3.1%|3.2%|87.8%|0.2%|0.4%|0.3%|1.8%|3.2%|
10_29_0.wav |0.8%|66.3%|6.1%|0.4%|1.7%|13.7%|9.6%|1.5%|
10_29_1.wav |6.6%|30.2%|9.9%|1.2%|9.2%|19.1%|20.9%|2.9%|
10_29_2.wav |2.9%|30.3%|55.9%|0.2%|0.7%|2.0%|6.9%|1.0%|
10_29_3.wav |0.2%|71.4%|21.9%|0.1%|0.1%|0.9%|5.3%|0.1%|
10_29_4.wav |5.7%|3.3%|83.8%|0.2%|0.6%|0.5%|2.1%|3.7%|
10_30_0.wav |0.7%|8.9%|0.3%|1.4%|16.9%|57.3%|3.0%|11.4%|
10_30_1.wav |6.0%|3.2%|1.0%|1.5%|29.6%|25.1%|2.5%|31.0%|
10_30_2.wav |1.2%|59.0%|20.9%|0.3%|1.0%|5.2%|11.3%|1.1%|
10_30_3.wav |0.1%|84.0%|7.6%|0.1%|0.1%|1.4%|6.6%|0.1%|
10_30_4.wav |3.8%|8.8%|6.2%|1.0%|8.9%|14.5%|2.9%|53.9%|
